time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,NQ1! · CME: open,NQ1! · CME: high,NQ1! · CME: low,NQ1! · CME: close
2025-03-12T12:37:00-04:00,19931,19933.75,19919.75,19920.75,0,0,0,0,0,0,0,19725,19727.75,19713.75,19714.75
2025-03-12T12:38:00-04:00,19921,19933.75,19919.75,19926,0,0,0,0,0,0,0,19715,19727.75,19713.75,19720
2025-03-12T12:39:00-04:00,19926.5,19927,19897.25,19900.25,0,0,0,0,0,0,0,19720.5,19721,19691.25,19694.25
2025-03-12T12:40:00-04:00,19899.25,19900,19858,19863.25,0,0,0,0,0,0,0,19693.25,19694,19652,19657.25
2025-03-12T12:41:00-04:00,19864.25,19874,19836,19844.5,0,0,0,0,0,0,0,19658.25,19668,19630,19638.5
2025-03-12T12:42:00-04:00,19844.5,19847,19818.5,19834.25,0,0,0,0,0,0,0,19638.5,19641,19612.5,19628.25
2025-03-12T12:43:00-04:00,19834.5,19840.25,19815,19833.75,0,0,0,0,0,0,0,19628.5,19634.25,19609,19627.75
2025-03-12T12:44:00-04:00,19833,19834.25,19815.25,19825.75,0,0,0,0,0,0,0,19627,19628.25,19609.25,19619.75
2025-03-12T12:45:00-04:00,19825.75,19840,19824.75,19833.5,0,0,0,0,0,0,0,19619.75,19634,19618.75,19627.5
2025-03-12T12:46:00-04:00,19834.25,19849.25,19818,19845.25,0,0,0,0,0,0,0,19628.25,19643.25,19612,19639.25
2025-03-12T12:47:00-04:00,19845,19873.75,19842.5,19868,0,0,0,0,0,0,0,19639,19667.75,19636.5,19662
2025-03-12T12:48:00-04:00,19867.75,19889,19864.5,19888,0,0,0,0,0,0,0,19661.75,19683,19658.5,19682
2025-03-12T12:49:00-04:00,19888,19907.75,19886.5,19902.5,0,0,0,0,0,0,0,19682,19701.75,19680.5,19696.5
2025-03-12T12:50:00-04:00,19902.5,19921,19901,19915,0,0,0,0,0,0,0,19696.5,19715,19695,19709
2025-03-12T12:51:00-04:00,19914.5,19918,19904,19910.5,0,0,0,0,0,0,0,19708.5,19712,19698,19704.5
2025-03-12T12:52:00-04:00,19911.5,19915,19873.75,19886.25,0,0,0,0,0,0,0,19705.5,19709,19667.75,19680.25
2025-03-12T12:53:00-04:00,19885.25,19886,19863,19867.75,0,0,0,0,0,0,0,19679.25,19680,19657,19661.75
2025-03-12T12:54:00-04:00,19868.5,19898,19862.5,19893.5,0,0,0,0,0,0,0,19662.5,19692,19656.5,19687.5
2025-03-12T12:55:00-04:00,19894,19903.75,19888.25,19890.5,0,0,0,0,0,0,0,19688,19697.75,19682.25,19684.5
2025-03-12T12:56:00-04:00,19889.5,19891.75,19876.75,19877.25,0,0,0,0,0,0,0,19683.5,19685.75,19670.75,19671.25
2025-03-12T12:57:00-04:00,19878,19879,19861.25,19864,0,0,0,0,0,0,0,19672,19673,19655.25,19658
2025-03-12T12:58:00-04:00,19864.75,19870,19847.25,19854.5,0,0,0,0,0,0,0,19658.75,19664,19641.25,19648.5
2025-03-12T12:59:00-04:00,19853.25,19857.5,19829.75,19832.5,0,0,0,0,0,0,0,19647.25,19651.5,19623.75,19626.5
2025-03-12T13:00:00-04:00,19833,19845.25,19817,19842,0,0,0,0,0,0,0,19627,19639.25,19611,19636
2025-03-12T13:01:00-04:00,19841.75,19849.25,19834,19845.75,0,0,0,0,0,0,0,19635.75,19643.25,19628,19639.75
2025-03-12T13:02:00-04:00,19846.5,19850.25,19831.5,19838,0,0,0,0,0,0,0,19640.5,19644.25,19625.5,19632
2025-03-12T13:03:00-04:00,19838.75,19850,19821,19823,0,0,0,0,0,0,0,19632.75,19644,19615,19617
2025-03-12T13:04:00-04:00,19824,19838.5,19822.25,19838,0,0,0,0,0,0,0,19618,19632.5,19616.25,19632
2025-03-12T13:05:00-04:00,19838,19843.5,19807.75,19843.25,0,0,0,0,0,0,0,19632,19637.5,19601.75,19637.25
2025-03-12T13:06:00-04:00,19843.5,19849,19827.75,19842,0,0,0,0,0,0,0,19637.5,19643,19621.75,19636
2025-03-12T13:07:00-04:00,19842.25,19843,19812.5,19813.75,0,0,0,0,0,0,0,19636.25,19637,19606.5,19607.75
2025-03-12T13:08:00-04:00,19814.5,19849.25,19812.75,19842.75,0,0,0,0,0,0,0,19608.5,19643.25,19606.75,19636.75
2025-03-12T13:09:00-04:00,19843,19865.5,19841.75,19863.75,0,0,0,0,0,0,0,19637,19659.5,19635.75,19657.75
2025-03-12T13:10:00-04:00,19864,19866,19844.5,19852.5,0,0,0,0,0,0,0,19658,19660,19638.5,19646.5
2025-03-12T13:11:00-04:00,19852.75,19857,19840,19848,0,0,0,0,0,0,0,19646.75,19651,19634,19642
2025-03-12T13:12:00-04:00,19849.5,19864.25,19843.25,19859.25,0,0,0,0,0,0,0,19643.5,19658.25,19637.25,19653.25
2025-03-12T13:13:00-04:00,19859.25,19875.75,19858.75,19864.5,0,0,0,0,0,0,0,19653.25,19669.75,19652.75,19658.5
2025-03-12T13:14:00-04:00,19864.75,19880.5,19864.75,19878.5,0,0,0,0,0,0,0,19658.75,19674.5,19658.75,19672.5
2025-03-12T13:15:00-04:00,19878.25,19878.25,19856,19871.5,0,0,0,0,0,0,0,19672.25,19672.25,19650,19665.5
2025-03-12T13:16:00-04:00,19871,19873.75,19853.25,19861.5,0,0,0,0,0,0,0,19665,19667.75,19647.25,19655.5
2025-03-12T13:17:00-04:00,19861.75,19862.5,19850.75,19858,0,0,0,0,0,0,0,19655.75,19656.5,19644.75,19652
2025-03-12T13:18:00-04:00,19858.75,19868.25,19852,19862,0,0,0,0,0,0,0,19652.75,19662.25,19646,19656
2025-03-12T13:19:00-04:00,19863.75,19888.5,19860.75,19873.5,0,0,0,0,0,0,0,19657.75,19682.5,19654.75,19667.5
2025-03-12T13:20:00-04:00,19874,19893.25,19868.75,19888,0,0,0,0,0,0,0,19668,19687.25,19662.75,19682
2025-03-12T13:21:00-04:00,19889,19899,19886.5,19894,0,0,0,0,0,0,0,19683,19693,19680.5,19688
2025-03-12T13:22:00-04:00,19894.5,19904.75,19890,19902.75,0,0,0,0,0,0,0,19688.5,19698.75,19684,19696.75
2025-03-12T13:23:00-04:00,19901.25,19907.5,19898.25,19900.5,0,0,0,0,0,0,0,19695.25,19701.5,19692.25,19694.5
2025-03-12T13:24:00-04:00,19901.25,19907.25,19897,19900.5,0,0,0,0,0,0,0,19695.25,19701.25,19691,19694.5
2025-03-12T13:25:00-04:00,19900.5,19902.75,19879.25,19885.25,0,0,0,0,0,0,0,19694.5,19696.75,19673.25,19679.25
2025-03-12T13:26:00-04:00,19886,19901.5,19883.5,19887.75,0,0,0,0,0,0,0,19680,19695.5,19677.5,19681.75
2025-03-12T13:27:00-04:00,19887.25,19896.5,19882.25,19894,0,0,0,0,0,0,0,19681.25,19690.5,19676.25,19688
2025-03-12T13:28:00-04:00,19893,19907,19888.75,19906.75,0,0,0,0,0,0,0,19687,19701,19682.75,19700.75
2025-03-12T13:29:00-04:00,19906,19911.5,19901.25,19907.5,0,0,0,0,0,0,0,19700,19705.5,19695.25,19701.5
2025-03-12T13:30:00-04:00,19906.75,19916.75,19900.75,19910.75,0,0,0,0,0,0,0,19700.75,19710.75,19694.75,19704.75
2025-03-12T13:31:00-04:00,19909.25,19925.5,19907.75,19917.75,0,0,0,0,0,0,0,19703.25,19719.5,19701.75,19711.75
2025-03-12T13:32:00-04:00,19918.25,19920.25,19901.5,19917.5,0,0,0,0,0,0,0,19712.25,19714.25,19695.5,19711.5
2025-03-12T13:33:00-04:00,19916.75,19917.25,19891.25,19892.25,0,0,0,0,0,0,0,19710.75,19711.25,19685.25,19686.25
2025-03-12T13:34:00-04:00,19891.75,19899.25,19880.5,19894,0,0,0,0,0,0,0,19685.75,19693.25,19674.5,19688
